"japanese_word","hiragana","meaning","part_of_speech","jlpt_level","frequency","pitch_accent","te_form","ta_form","nai_form","masu_form","example_sentence","example_translation","synonyms","antonyms","nuance","kanji_info","additional_examples","compounds"
"山","やま","tog'","ot","N5","Top 500","②","","","","","富士山は高い山です。(ふじさんはたかいやまです。)","Fuji — baland tog'.","","海","Tog' nomlarida 「さん」 yoki 「やま」 deb o'qiladi: 富士山（ふじさん）, 白山（はくさん）. Qaysi biri ekanini yodlash kerak — qoidasi yo'q.","[{""kanji"":""山"",""meaning"":""tog'"",""kunReading"":""yama"",""onReading"":""san"",""strokes"":3}]","[{""sentence"":""夏に山へ行きます。(なつにやまへいきます。)"",""translation"":""Yozda tog'ga boraman.""},{""sentence"":""あの山は有名です。(あのやまはゆうめいです。)"",""translation"":""Anavi tog' mashhur.""}]","[{""word"":""火山"",""hiragana"":""かざん"",""meaning"":""vulqon""},{""word"":""登山"",""hiragana"":""とざん"",""meaning"":""tog'ga chiqish""}]"
"町","まち","shahar (kichik), shaharcha","ot","N5","Top 500","②","","","","","この町は静かです。(このまちはしずかです。)","Bu shahar tinch.","都市","田舎","「町」 — kichik shahar yoki shahar markazi. Katta shahar 「市（し）」 yoki 「都市（とし）」. 「街（まち）」 belgisi ham bor — u ko'proq savdo ko'chasini bildiradi.","[{""kanji"":""町"",""meaning"":""shaharcha, mahalla"",""kunReading"":""machi"",""onReading"":""chou"",""strokes"":7}]","[{""sentence"":""京都は古い町です。(きょうとはふるいまちです。)"",""translation"":""Kioto — qadimiy shahar.""},{""sentence"":""町へ買い物に行きます。(まちへかいものにいきます。)"",""translation"":""Shaharga xarid qilgani boraman.""}]","[{""word"":""町中"",""hiragana"":""まちなか"",""meaning"":""shahar markazi""}]"
"食べ物","たべもの","yegulik, taom, ovqat","ot","N5","Top 1000","②","","","","","日本の食べ物はおいしいです。(にほんのたべものはおいしいです。)","Yapon taomlari mazali.","料理","飲み物","6-darsdagi 「食べます」 dan yasalgan: fe'lning masu-o'zagiga 「物」 qo'shiladi. Xuddi shunday 「飲み物（ichimlik）」, 「読み物（o'qish uchun narsa）」.","[{""kanji"":""食"",""meaning"":""yemoq, ovqat"",""kunReading"":""ta, ku"",""onReading"":""shoku"",""strokes"":9},{""kanji"":""物"",""meaning"":""narsa, buyum"",""kunReading"":""mono"",""onReading"":""butsu"",""strokes"":8}]","[{""sentence"":""好きな食べ物は何ですか。(すきなたべものはなんですか。)"",""translation"":""Sevimli taomingiz nima?""},{""sentence"":""冷たい食べ物は好きじゃありません。(つめたいたべものはすきじゃありません。)"",""translation"":""Sovuq taomni yoqtirmayman.""}]","[{""word"":""飲み物"",""hiragana"":""のみもの"",""meaning"":""ichimlik""}]"
"車","くるま","mashina, avtomobil","ot","N5","Top 500","⓪","","","","","新しい車を買いました。(あたらしいくるまをかいました。)","Yangi mashina sotib oldim.","自動車","","2-darsdagi 「自動車」 ning kundalik shakli — nutqda deyarli doim 「車」 ishlatiladi. Belgi 「しゃ」 deb ham o'qiladi: 電車, 自転車, 自動車.","[{""kanji"":""車"",""meaning"":""arava, mashina"",""kunReading"":""kuruma"",""onReading"":""sha"",""strokes"":7}]","[{""sentence"":""車で会社へ行きます。(くるまでかいしゃへいきます。)"",""translation"":""Ishga mashinada boraman.""},{""sentence"":""この車は高いです。(このくるまはたかいです。)"",""translation"":""Bu mashina qimmat.""}]","[{""word"":""自動車"",""hiragana"":""じどうしゃ"",""meaning"":""avtomobil""},{""word"":""車いす"",""hiragana"":""くるまいす"",""meaning"":""nogironlar aravachasi""}]"
"所","ところ","joy, yer","ot","N5","Top 500","③","","","","","静かな所に住みたいです。(しずかなところにすみたいです。)","Tinch joyda yashamoqchiman.","場所","","3-darsdagi 「事務所」 dagi 「所（しょ）」 shu belgidan. 「場所（ばしょ）」 — aniq manzil, 「所」 esa umumiyroq ""joy, muhit"" ma'nosida.","[{""kanji"":""所"",""meaning"":""joy"",""kunReading"":""tokoro"",""onReading"":""sho"",""strokes"":8}]","[{""sentence"":""京都はどんな所ですか。(きょうとはどんなところですか。)"",""translation"":""Kioto qanaqa joy?""},{""sentence"":""いい所ですね。(いいところですね。)"",""translation"":""Yaxshi joy ekan.""}]","[{""word"":""場所"",""hiragana"":""ばしょ"",""meaning"":""joy, manzil""},{""word"":""台所"",""hiragana"":""だいどころ"",""meaning"":""oshxona (uydagi)""}]"
"寮","りょう","yotoqxona","ot","N5","Boshqa","①","","","","","寮は新しくてきれいです。(りょうはあたらしくてきれいです。)","Yotoqxona yangi va toza.","ドミトリー","","Yaponiyada nafaqat talabalar, balki yosh xodimlar uchun ham firma yotoqxonalari (社員寮) keng tarqalgan — ijara qimmat bo'lgani uchun.","[{""kanji"":""寮"",""meaning"":""yotoqxona"",""kunReading"":""-"",""onReading"":""ryou"",""strokes"":15}]","[{""sentence"":""会社の寮に住んでいます。(かいしゃのりょうにすんでいます。)"",""translation"":""Firmaning yotoqxonasida yashayman.""},{""sentence"":""寮の部屋は小さいです。(りょうのへやはちいさいです。)"",""translation"":""Yotoqxona xonasi kichkina.""}]","[{""word"":""学生寮"",""hiragana"":""がくせいりょう"",""meaning"":""talabalar yotoqxonasi""}]"
"勉強","べんきょう","o'qish, dars, mashg'ulot","ot","N5","Top 500","⓪","","","","","日本語の勉強はおもしろいです。(にほんごのべんきょうはおもしろいです。)","Yapon tilini o'rganish qiziqarli.","学習","","4-darsda fe'l sifatida (勉強します) o'rganilgan edi; bu darsda ot sifatida keladi. Do'konda 「勉強します」 — ""chegirma qilaman"" degani, bu eski savdo iborasi.","[{""kanji"":""勉"",""meaning"":""tirishmoq"",""kunReading"":""-"",""onReading"":""ben"",""strokes"":10},{""kanji"":""強"",""meaning"":""kuchli"",""kunReading"":""tsuyo"",""onReading"":""kyou"",""strokes"":11}]","[{""sentence"":""勉強は難しいですが、楽しいです。(べんきょうはむずかしいですが、たのしいです。)"",""translation"":""O'qish qiyin, lekin zavqli.""},{""sentence"":""毎日勉強しています。(まいにちべんきょうしています。)"",""translation"":""Har kuni o'qiyapman.""}]","[{""word"":""勉強します"",""hiragana"":""べんきょうします"",""meaning"":""o'qimoq, dars qilmoq""}]"
"生活","せいかつ","turmush, hayot, yashash tarzi","ot","N5","Top 1000","⓪","","","","","日本の生活に慣れましたか。(にほんのせいかつになれましたか。)","Yaponiyadagi turmushga ko'nikdingizmi?","暮らし","","「生（hayot）」＋「活（faoliyat）」 — kundalik turmush tarzi. 「人生（じんせい）」 esa butun umr yo'li — ikkalasi almashtirilmaydi.","[{""kanji"":""生"",""meaning"":""hayot, tug'ilmoq"",""kunReading"":""i, u"",""onReading"":""sei"",""strokes"":5},{""kanji"":""活"",""meaning"":""faoliyat, jonli"",""kunReading"":""-"",""onReading"":""katsu"",""strokes"":9}]","[{""sentence"":""毎日の生活は忙しいです。(まいにちのせいかつはいそがしいです。)"",""translation"":""Kundalik hayotim band.""},{""sentence"":""寮の生活は楽しいです。(りょうのせいかつはたのしいです。)"",""translation"":""Yotoqxonadagi hayot qiziqarli.""}]","[{""word"":""生活する"",""hiragana"":""せいかつする"",""meaning"":""yashamoq, kun kechirmoq""},{""word"":""人生"",""hiragana"":""じんせい"",""meaning"":""inson umri""}]"
"[お]仕事","[お]しごと","ish, kasb (～をします — ishlamoq)","ot","N5","Top 500","⓪","","","","","お仕事はどうですか。(おしごとはどうですか。)","Ishingiz qanday ketyapti?","職業","休み","Boshqaning ishi haqida gapirganda hurmat qo'shimchasi 「お」 qo'shiladi — 3-darsdagi 「お国」 bilan bir qoida. O'z ishi haqida 「仕事」 deyiladi.","[{""kanji"":""仕"",""meaning"":""xizmat qilmoq"",""kunReading"":""tsuka"",""onReading"":""shi"",""strokes"":5},{""kanji"":""事"",""meaning"":""ish, hodisa"",""kunReading"":""koto"",""onReading"":""ji"",""strokes"":8}]","[{""sentence"":""仕事が忙しいです。(しごとがいそがしいです。)"",""translation"":""Ishim ko'p.""},{""sentence"":""お仕事は何ですか。(おしごとはなんですか。)"",""translation"":""Kasbingiz nima?""}]","[{""word"":""仕事をします"",""hiragana"":""しごとをします"",""meaning"":""ishlamoq""}]"
"どう","どう","qanday, qanaqa (taassurot so'rash)","olmosh","N5","Top 500","①","","","","","日本の生活はどうですか。(にほんのせいかつはどうですか。)","Yaponiyadagi hayot qanday?","いかが","","「どう」 — taassurot, fikr so'raydi (javob: sifat). 「どんな」 esa xususiyat so'raydi va ot bilan keladi. Hurmatli shakli — 7-darsdagi 「いかが」.","[]","[{""sentence"":""旅行はどうでしたか。(りょこうはどうでしたか。)"",""translation"":""Sayohat qanday o'tdi?""},{""sentence"":""コーヒーはどうですか。(こーひーはどうですか。)"",""translation"":""Qahva ichasizmi?""}]","[{""word"":""どうして"",""hiragana"":""どうして"",""meaning"":""nega, nima uchun""}]"
"どんな～","どんな～","qanday ~, qanaqa ~ (ot bilan keladi)","olmosh","N5","Top 500","①","","","","","京都はどんな町ですか。(きょうとはどんなまちですか。)","Kioto qanaqa shahar?","","","「どんな」 dan keyin ALBATTA ot keladi — 「どんなですか」 noto'g'ri, u holda 「どうですか」 ishlatiladi. Bu ikkisining farqi bu darsda ko'p sinaladi.","[]","[{""sentence"":""どんな食べ物が好きですか。(どんなたべものがすきですか。)"",""translation"":""Qanaqa taomlarni yoqtirasiz?""},{""sentence"":""どんな人ですか。(どんなひとですか。)"",""translation"":""Qanaqa odam?""}]","[]"
"どれ","どれ","qaysi biri (uch va undan ortiq narsadan)","olmosh","N5","Top 1000","①","","","","","ミラーさんのかばんはどれですか。(みらーさんのかばんはどれですか。)","Janob Millerning sumkasi qaysi biri?","どちら","","こ・そ・あ・ど tizimini yakunlaydi: これ・それ・あれ・**どれ**. Diqqat: ikkitadan birini tanlashda 「どれ」 emas, 3-darsdagi 「どちら」 ishlatiladi.","[]","[{""sentence"":""どれがいいですか。(どれがいいですか。)"",""translation"":""Qaysi biri ma'qul?""},{""sentence"":""どれもきれいですね。(どれもきれいですね。)"",""translation"":""Hammasi chiroyli ekan.""}]","[{""word"":""どれも"",""hiragana"":""どれも"",""meaning"":""hammasi; hech qaysi (inkor bilan)""}]"
"とても","とても","juda, o'ta","ravish","N5","Top 500","⓪","","","","","桜はとてもきれいです。(さくらはとてもきれいです。)","Sakura juda chiroyli.","非常に, すごく","あまり","Faqat IJOBIY gapda ishlatiladi. Inkor gapda 「とても」 emas, 「あまり」 qo'yiladi: 「あまり高くないです」.","[]","[{""sentence"":""この本はとてもおもしろいです。(このほんはとてもおもしろいです。)"",""translation"":""Bu kitob juda qiziqarli.""},{""sentence"":""とても忙しかったです。(とてもいそがしかったです。)"",""translation"":""Juda band edim.""}]","[]"
"あまり","あまり","unchalik ~ emas (inkor bilan)","ravish","N5","Top 500","⓪","","","","","この店はあまり高くないです。(このみせはあまりたかくないです。)","Bu do'kon unchalik qimmat emas.","そんなに","とても","Doim INKOR bilan keladi — 「あまり高いです」 noto'g'ri. Muloyim javob berish uchun juda qulay: to'g'ridan-to'g'ri ""yomon"" demay, ""unchalik yaxshi emas"" deyish mumkin.","[]","[{""sentence"":""肉はあまり食べません。(にくはあまりたべません。)"",""translation"":""Go'shtni kam yeyman.""},{""sentence"":""日本語はあまり上手じゃありません。(にほんごはあまりじょうずじゃありません。)"",""translation"":""Yapon tilim unchalik yaxshi emas.""}]","[{""word"":""あんまり"",""hiragana"":""あんまり"",""meaning"":""unchalik (erkin shakl)""}]"
"そして","そして","va, keyin, shuningdek","bog'lovchi","N5","Top 500","⓪","","","","","この町は静かです。そしてきれいです。(このまちはしずかです。そしてきれいです。)","Bu shahar tinch. Shuningdek, chiroyli.","それから","","6-darsdagi 「それから」 dan farqi: 「そして」 — ikki gapni bog'laydi va o'xshash fikrlarni qo'shadi; 「それから」 esa ko'proq harakatlar ketma-ketligini bildiradi.","[]","[{""sentence"":""桜はきれいです。そして有名です。(さくらはきれいです。そしてゆうめいです。)"",""translation"":""Sakura chiroyli. Va mashhur.""},{""sentence"":""食べ物はおいしいです。そして安いです。(たべものはおいしいです。そしてやすいです。)"",""translation"":""Taom mazali. Ustiga arzon ham.""}]","[]"
"～が、～","～が、～","~, lekin ~; ~-yu, ~","bog'lovchi","N5","Top 100","","","","","","日本語は難しいですが、おもしろいです。(にほんごはむずかしいですが、おもしろいです。)","Yapon tili qiyin, lekin qiziqarli.","でも, しかし","","Bu 「が」 — 1-darsdagi ega yuklamasi emas, zidlov bog'lovchisi; gap o'rtasida keladi. 「でも」 esa yangi gapning boshida turadi: 「難しいです。でも、おもしろいです」.","[]","[{""sentence"":""この部屋は小さいですが、きれいです。(このへやはちいさいですが、きれいです。)"",""translation"":""Bu xona kichkina, lekin ozoda.""},{""sentence"":""食べたいですが、お金がありません。(たべたいですが、おかねがありません。)"",""translation"":""Yegim kelyapti-yu, pulim yo'q.""}]","[{""word"":""でも"",""hiragana"":""でも"",""meaning"":""lekin, ammo""}]"
"お元気ですか","おげんきですか","Yaxshimisiz? / Sog'-salomatmisiz?","ibora","N5","Top 1000","","","","","","お元気ですか。—はい、元気です。","""Yaxshimisiz?"" — ""Ha, yaxshiman.""","いかがお過ごしですか","","Muhim: bu har kuni ko'rishadigan kishiga aytilmaydi — faqat uzoq ko'rishmaganda yoki xatda. Har kungi salomlashuv 「おはようございます」/「こんにちは」.","[{""kanji"":""元"",""meaning"":""asos, kelib chiqish"",""kunReading"":""moto"",""onReading"":""gen"",""strokes"":4},{""kanji"":""気"",""meaning"":""havo, ruh"",""kunReading"":""-"",""onReading"":""ki"",""strokes"":6}]","[{""sentence"":""お父さんはお元気ですか。(おとうさんはおげんきですか。)"",""translation"":""Otangiz yaxshi yuribdilarmi?""},{""sentence"":""みなさん、お元気ですか。(みなさん、おげんきですか。)"",""translation"":""Hammangiz yaxshimisiz?""}]","[]"
"そうですね","そうですね","Ha-ya... / Rost aytasiz. / Nimasini aytsam...","ibora","N5","Top 500","","","","","","日本の生活はどうですか。—そうですね、忙しいですが、楽しいです。","""Yaponiyadagi hayot qanday?"" — ""Ha-ya... band, lekin qiziqarli.""","ええ, なるほど","","Ikki vazifada: suhbatdoshning fikriga qo'shilish (""rost aytasiz"") va javob o'ylab turganda vaqt yutish (""hmm...""). Ohang farq qiladi: qo'shilishda tez, o'ylanishda cho'zib aytiladi.","[]","[{""sentence"":""きょうは暑いですね。—そうですね。"",""translation"":""\""Bugun issiq-a?\"" — \""Rost aytasiz.\""""},{""sentence"":""そうですね、ちょっと難しいですね。(そうですね、ちょっとむずかしいですね。)"",""translation"":""Hmm... biroz qiyin-da.""}]","[]"
"日本の生活に慣れましたか","にほんのせいかつになれましたか","Yaponiya turmush tarziga ko'nikdingizmi?","ibora","N5","Boshqa","","","","","","日本の生活に慣れましたか。—ええ、少し。","""Yaponiyadagi hayotga ko'nikdingizmi?"" — ""Ha, biroz.""","","","「慣れる（なれる）」 — ko'nikmoq; nimaga ko'nikilgani 「に」 bilan beriladi. Chet ellikka beriladigan eng odatiy savollardan biri.","[{""kanji"":""慣"",""meaning"":""ko'nikmoq, odat"",""kunReading"":""na"",""onReading"":""kan"",""strokes"":14}]","[{""sentence"":""仕事に慣れましたか。(しごとになれましたか。)"",""translation"":""Ishga ko'nikdingizmi?""},{""sentence"":""まだ慣れていません。(まだなれていません。)"",""translation"":""Hali ko'nikmadim.""}]","[{""word"":""慣れる"",""hiragana"":""なれる"",""meaning"":""ko'nikmoq, odatlanmoq""}]"
"もう一杯いかがですか","もういっぱいいかがですか","Yana bir piyola (kosa) olasizmi?","ibora","N5","Boshqa","","","","","","コーヒー、もう一杯いかがですか。(こーひー、もういっぱいいかがですか。)","Yana bir chashka qahva olasizmi?","","","7-darsdagi 「もう」＋「一杯（bir piyola）」＋「いかがですか」. 「一杯（いっぱい）」 — piyola va kosadagi ichimlikni sanash birligi; 「いっぱい」 deb ham o'qilib ""to'la"" degani ham bo'ladi.","[{""kanji"":""杯"",""meaning"":""piyola, kosa (sanoq)"",""kunReading"":""sakazuki"",""onReading"":""hai"",""strokes"":8}]","[{""sentence"":""お茶をもう一杯いかがですか。(おちゃをもういっぱいいかがですか。)"",""translation"":""Yana bir piyola choy quyaymi?""},{""sentence"":""もう一杯どうぞ。(もういっぱいどうぞ。)"",""translation"":""Marhamat, yana bir piyola.""}]","[{""word"":""一杯"",""hiragana"":""いっぱい"",""meaning"":""bir piyola; to'la""}]"
"いいえ、けっこうです","いいえ、けっこうです","Yo'q, rahmat (muloyim rad javobi)","ibora","N5","Top 5000","","","","","","もう一杯いかがですか。—いいえ、けっこうです。","""Yana bir piyola olasizmi?"" — ""Yo'q, rahmat.""","いいえ、いいです","はい、いただきます","Diqqat qiling: 「けっこうです」 ikki xil ma'no berishi mumkin — ""kifoya, kerak emas"" (rad) va ""yaxshi, mayli"" (rozilik). Ohang va vaziyat ajratadi; rad javobida oldiga 「いいえ」 qo'shilsa aniq bo'ladi.","[]","[{""sentence"":""コーヒーはいかがですか。—いいえ、けっこうです。"",""translation"":""\""Qahva olasizmi?\"" — \""Yo'q, rahmat.\""""},{""sentence"":""けっこうです。ありがとうございます。(けっこうです。ありがとうございます。)"",""translation"":""Kifoya, rahmat.""}]","[{""word"":""けっこう"",""hiragana"":""けっこう"",""meaning"":""yetarli; ancha, juda""}]"
"そろそろ失礼します","そろそろしつれいします","Endi bizga ruxsat. / Ketsam bo'ladimi.","ibora","N5","Top 5000","","","","","","もう八時ですね。そろそろ失礼します。(もうはちじですね。そろそろしつれいします。)","Soat sakkiz bo'libdi. Endi bizga ruxsat.","","","「そろそろ」 — ""asta-sekin, endi"" degani va to'g'ridan-to'g'ri ""ketaman"" demaslik uchun ishlatiladi. Mehmon ketishdan oldin avval 「もう～ですね」 deb vaqtga ishora qiladi — bu odob qoidasi.","[]","[{""sentence"":""そろそろ失礼します。—またいらっしゃってください。"",""translation"":""\""Endi ketsam.\"" — \""Yana keling.\""""},{""sentence"":""そろそろ帰ります。(そろそろかえります。)"",""translation"":""Endi qaytsam.""}]","[{""word"":""そろそろ"",""hiragana"":""そろそろ"",""meaning"":""asta-sekin, endi""}]"
"またいらっしゃってください","またいらっしゃってください","Yana keling.","ibora","N5","Boshqa","","","","","","またいらっしゃってください。(またいらっしゃってください。)","Yana keling.","また来てください","","7-darsdagi 「いらっしゃい」 bilan bir ildizdan: 「いらっしゃる」 — 「来る・行く・いる」 ning hurmat shakli. Oddiy shakli 「また来てください」.","[]","[{""sentence"":""ぜひまたいらっしゃってください。(ぜひまたいらっしゃってください。)"",""translation"":""Albatta yana keling.""},{""sentence"":""またいらっしゃってください。—ありがとうございます。"",""translation"":""\""Yana keling.\"" — \""Rahmat.\""""}]","[{""word"":""いらっしゃる"",""hiragana"":""いらっしゃる"",""meaning"":""kelmoq, bormoq, bo'lmoq (hurmatli)""}]"
"富士山","ふじさん","Fuji tog'i","ot","N5","Top 5000","①","","","","","富士山は高くてきれいな山です。(ふじさんはたかくてきれいなやまです。)","Fuji — baland va chiroyli tog'.","","","Diqqat: 「ふじやま」 emas, 「ふじさん」 deb o'qiladi. Yaponiyaning eng baland tog'i (3776 m), hozir ham faol vulqon hisoblanadi va UNESCO ro'yxatiga kiritilgan.","[{""kanji"":""富"",""meaning"":""boylik"",""kunReading"":""tomi"",""onReading"":""fu"",""strokes"":12},{""kanji"":""士"",""meaning"":""jangchi, olim"",""kunReading"":""-"",""onReading"":""shi"",""strokes"":3},{""kanji"":""山"",""meaning"":""tog'"",""kunReading"":""yama"",""onReading"":""san"",""strokes"":3}]","[{""sentence"":""富士山に登りました。(ふじさんにのぼりました。)"",""translation"":""Fuji tog'iga chiqdim.""},{""sentence"":""富士山はとても有名です。(ふじさんはとてもゆうめいです。)"",""translation"":""Fuji tog'i juda mashhur.""}]","[]"
"琵琶湖","びわこ","Biva ko'li","ot","N5","Boshqa","①","","","","","琵琶湖は大きい湖です。(びわこはおおきいみずうみです。)","Biva — katta ko'l.","","","Yaponiyaning eng katta ko'li, Shiga prefekturasida. Nomi 「琵琶（biva — yapon lyutnyasi）」 dan olingan, chunki shakli shu cholg'uga o'xshaydi.","[{""kanji"":""湖"",""meaning"":""ko'l"",""kunReading"":""mizuumi"",""onReading"":""ko"",""strokes"":12}]","[{""sentence"":""琵琶湖へ行きました。(びわこへいきました。)"",""translation"":""Biva ko'liga bordim.""},{""sentence"":""琵琶湖はきれいです。(びわこはきれいです。)"",""translation"":""Biva ko'li chiroyli.""}]","[{""word"":""湖"",""hiragana"":""みずうみ"",""meaning"":""ko'l""}]"
"シャンハイ","シャンハイ","Shanxay (上海)","ot","N5","Boshqa","①","","","","","シャンハイはにぎやかな町です。(しゃんはいはにぎやかなまちです。)","Shanxay — gavjum shahar.","上海","","Kanji shakli 「上海」. Xitoy joy nomlari yaponchada ikki xil beriladi: mahalliy talaffuzga yaqin katakana (シャンハイ) yoki yaponcha o'qilish (じょうかい emas, odatda katakana ishlatiladi).","[]","[{""sentence"":""シャンハイへ行きたいです。(しゃんはいへいきたいです。)"",""translation"":""Shanxayga bormoqchiman.""},{""sentence"":""シャンハイは中国の町です。(しゃんはいはちゅうごくのまちです。)"",""translation"":""Shanxay — Xitoydagi shahar.""}]","[]"
"「七人の侍」","しちにんのさむらい","""Yetti samuray"" (mashhur yapon filmi)","ot","N5","Boshqa","","","","","","「七人の侍」はおもしろい映画です。(しちにんのさむらいはおもしろいえいがです。)","""Yetti samuray"" — qiziqarli film.","","","Akira Kurosavaning 1954-yilgi filmi — jahon kinosining klassikasi. 「侍（さむらい）」 — o'rta asrlardagi jangchi tabaqasi. Diqqat: 「ななにん」 emas, 「しちにん」 deb o'qiladi.","[{""kanji"":""侍"",""meaning"":""samuray, xizmatkor"",""kunReading"":""samurai"",""onReading"":""ji"",""strokes"":8}]","[{""sentence"":""「七人の侍」を見ましたか。(しちにんのさむらいをみましたか。)"",""translation"":""\""Yetti samuray\""ni ko'rganmisiz?""},{""sentence"":""この映画はとても有名です。(このえいがはとてもゆうめいです。)"",""translation"":""Bu film juda mashhur.""}]","[{""word"":""侍"",""hiragana"":""さむらい"",""meaning"":""samuray, jangchi""}]"
"金閣寺","きんかくじ","Kinkakuji (Oltin pavilyon ibodatxonasi, Kioto)","ot","N5","Boshqa","③","","","","","金閣寺はとてもきれいです。(きんかくじはとてもきれいです。)","Kinkakuji juda chiroyli.","","","「金（oltin）」＋「閣（pavilyon）」＋「寺（ibodatxona）」 — devorlari oltin varaq bilan qoplangani uchun shunday nomlangan. Kiotodagi eng mashhur ziyoratgohlardan biri; juftligi — 「銀閣寺（Kumush pavilyon）」.","[{""kanji"":""金"",""meaning"":""oltin, pul"",""kunReading"":""kane"",""onReading"":""kin"",""strokes"":8},{""kanji"":""閣"",""meaning"":""saroy, pavilyon"",""kunReading"":""-"",""onReading"":""kaku"",""strokes"":14},{""kanji"":""寺"",""meaning"":""ibodatxona"",""kunReading"":""tera"",""onReading"":""ji"",""strokes"":6}]","[{""sentence"":""京都で金閣寺を見ました。(きょうとできんかくじをみました。)"",""translation"":""Kiotoda Kinkakujini ko'rdim.""},{""sentence"":""金閣寺は有名なお寺です。(きんかくじはゆうめいなおてらです。)"",""translation"":""Kinkakuji — mashhur ibodatxona.""}]","[{""word"":""お寺"",""hiragana"":""おてら"",""meaning"":""budda ibodatxonasi""},{""word"":""銀閣寺"",""hiragana"":""ぎんかくじ"",""meaning"":""Ginkakuji (Kumush pavilyon)""}]"
